,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
o__Sediment-1(676),0.0010985084716393194,0.0,0.00021132713440405744,0.0,0.0,0.013890997705304097,6.163708086785009e-05,0.14890923505971404,0.2530513089004982,0.25473195854613356,0.1938688768829292,0.03802410449099295,0.0226325534913068,0.0011219156063673249,0.04695950531308886,0.02068585238184256,0.0,0.004752218934911242,0.0,0.0
o__IIb(238),0.005249538839926215,0.0,0.0014005602240896359,0.0,0.0,0.004469786231045237,0.0021008403361344537,0.13351971012019812,0.19768686586427575,0.24390536568765067,0.15830483269798235,0.06729538485085296,0.04417415956658696,0.0015406162464985996,0.1158602301973557,0.024492109137403278,0.0,0.0,0.0,0.0
o__Nitrospirales(601),0.007324876101947427,0.0004743042268870124,0.00451539160932324,9.24385283786282e-05,0.0008402248325758892,0.008737442196313533,0.005094576655777452,0.20300365386389752,0.1569477127229537,0.22649231769041134,0.15104802804373035,0.030800084529494027,0.0567935511370535,0.010660427045147908,0.09042296305741268,0.04014578255989509,0.0,0.00660622519880079,0.0,0.0
o__mle1-8(96),0.0,0.0,0.0,0.0,0.0,0.0011574074074074073,0.00043402777777777775,0.1825489907377464,0.13786032247584312,0.3684506404901142,0.19479166666666667,0.041666666666666664,0.0390625,0.0,0.017361111111111112,0.016666666666666666,0.0,0.0,0.0,0.0
o__p04_C01(94),0.003546099290780142,0.0,0.0,0.0,0.0,0.0021276595744680856,0.0,0.13667947577290565,0.1680961507279907,0.3372270285071074,0.15435169551562097,0.04459788143298781,0.038120567375886524,0.0013297872340425534,0.08910095953274928,0.014184397163120569,0.0,0.010638297872340427,0.0,0.0
o__Desulfuromonadales(270),0.015551462507563046,0.003703703703703702,7.407407407407405e-05,0.0003739316239316238,0.003846153846153845,0.04087725546058877,0.0,0.15724616574026692,0.12732523314053798,0.1505872953559354,0.2604623497181785,0.02544046839266783,0.07132646413208629,0.03503751229851931,0.07103787001071192,0.03340635629137675,0.0,0.003703703703703702,0.0,0.0
o__GCA004(425),0.003641783264174156,0.0030412165971834436,0.0032941176470588232,0.0,0.0006753812636165577,0.0,0.0024400871459694987,0.19320205301646612,0.04395842504855986,0.2703156917799392,0.27939203422212944,0.008906559846051345,0.04121910374663265,0.007009803921568627,0.08163999773764898,0.04693451539683623,0.0,0.01432922936616507,0.0,0.0
o__Anaerolineales(405),0.010523624702368664,0.0,0.00699588477366255,0.001352145796590241,0.018165784832451494,0.0,0.0,0.1476786607871866,0.08220798747167286,0.21222916732976826,0.25766659822456617,0.044631718437494756,0.0813052249178373,0.01576781459822395,0.07869352398377877,0.04160608519084166,0.0,0.0011757789535567311,0.0,0.0
o__S0208(125),0.0,0.0,0.008761904761904762,0.0,0.0,0.0,0.002402005012531328,0.200144214787199,0.09366387955933922,0.23944458715481734,0.23461390374331545,0.03281476418318523,0.06340532017002605,0.0,0.06563830951657038,0.05177777777777777,0.0,0.007333333333333332,0.0,0.0
o__PL-11B10(31),0.0,0.0,0.0,0.0,0.03225806451612904,0.0,0.0,0.1849987872908077,0.013157894736842106,0.13341013824884795,0.2910906298003072,0.014516129032258067,0.10752688172043012,0.02580645161290323,0.16497695852534563,0.03225806451612904,0.0,0.0,0.0,0.0
o__Ignavibacteriales(228),0.013447533929162533,0.0,0.008771929824561405,0.0008771929824561405,5.414771496642842e-05,0.0,0.0,0.2022283159403907,0.07439392641136823,0.12811975831065145,0.2948975766399446,0.019619789199533163,0.08124029472558504,0.004385964912280702,0.08592379996441464,0.07907470721646491,0.0,0.0069650622282201235,0.0,0.0
o__[Leptospirales](197),0.0006543152905251044,0.0,0.0025380710659898475,0.005076142131979695,0.0,0.0,0.0,0.2467738537425458,0.04421757541767967,0.17163938555647526,0.24994815612412905,0.017693859064417443,0.09860505791131846,0.0,0.12435950586076029,0.028341793570219966,0.0,0.01015228426395939,0.0,0.0
o__MLE1-12(201),0.018597488746742472,0.004145936981757876,0.007110417411851416,0.0005798513261199826,0.0,0.0,0.00510978446484635,0.1855902685288673,0.41401057653795864,0.09771034931401042,0.0072761194029850726,0.035217745227724105,0.012900909951786398,0.010306068635113064,0.16965391849266553,0.03179056497757111,0.0,0.0,0.0,0.0
o__DS-100(29),0.03897473341251452,0.021072796934865898,0.01855629562268046,0.0032840722495894904,0.0,0.051724137931034475,0.03504804974561899,0.12422387483819457,0.5042763977705156,0.11933052971775411,0.0037000873631738524,0.01900862357126028,0.022241379310344825,0.0,0.03786936636003905,0.000689655172413793,0.0,0.0,0.0,0.0
o__A21b(65),0.009090909090909092,0.0,0.0,0.0,0.007692307692307693,0.005325280779826234,0.0,0.11031786535797229,0.6256911853703299,0.11804917750104915,0.021963787846140784,0.013560984470075378,0.0008597463142917688,0.03412587412587412,0.022047294293283594,0.0312755871579401,0.0,0.0,0.0,0.0
o__11-24(69),0.0,0.0,0.001877603708267324,0.0,0.0,0.007486458790806617,0.022005448977889527,0.18906953812951396,0.4709106220126463,0.0711331194997773,0.007056856187290969,0.04785591676103626,0.0006587615283267457,0.06022769501030371,0.1054860953361703,0.016231884057971015,0.0,0.0,0.0,0.0
o__N1423WL(39),0.061176733110776385,0.005242065347018024,0.006998910501676467,0.0,0.00031269543464665416,0.012573861060525729,0.002697200947033705,0.25144181623726924,0.47262193660061247,0.07087907220682979,0.03600793201780669,0.02308678112311712,0.006367772196825754,0.02797337151837958,0.01918520970263508,0.0034346419948472263,0.0,0.0,0.0,0.0
o__[Roseiflexales](192),0.025992455221981087,0.0,0.021515376984126984,0.0,0.0,0.0018790288529417535,0.007863794191919191,0.2824111302468345,0.42988170459884106,0.0490188214835682,0.005350398260728963,0.06313488410532343,0.001411893259719347,0.06508798375666282,0.0442534549632788,0.002199074074074074,0.0,0.0,0.0,0.0
o__CPla-3(27),0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.3095772306251078,0.47448482462032593,0.06870433424182296,0.0064999472406879815,0.035471243601324906,0.018518518518518517,0.039886039886039885,0.026914841323152073,0.0014245014245014246,0.0,0.0,0.0,0.0
o__C114(63),0.0,0.0,0.0014430014430014434,0.0,0.0,0.002751149559660199,0.0,0.3416279057606791,0.46411292628766804,0.0713563957615944,0.006439822701220878,0.030229798461639992,0.01611721611721612,0.04169243454957741,0.023955676670276822,0.000273672687465791,0.0,0.0,0.0,0.0
o__Thermogemmatisporales(198),0.0,0.0,0.0,0.035775503957322145,0.0,0.06336197472561109,0.0,0.09812107616444085,0.6120378726308716,0.010337137609864882,0.03788316061043334,0.02053872053872054,0.0,0.0,0.011046613319340592,0.11089794044339502,0.0,0.0,0.0,0.0
o__Ellin5290(228),0.0015037593984962403,0.0021929824561403503,0.022404717424648272,0.0015597147950089122,0.004385964912280701,0.023163663881848654,0.000984167736414206,0.22746365365390023,0.5408314058714878,0.05829478355522555,0.008680662589331317,0.02213045921797503,0.006578947368421051,0.024277889853536214,0.04856955583392974,0.00697767145135566,0.0,0.0,0.0,0.0
o__B07_WMSP1(71),0.01143888781164249,0.0,0.0021686587070683717,0.009575552864699511,0.0,0.048197971022496414,0.0038486734359646254,0.15188987888860953,0.609379483594922,0.017991955742141068,0.031220173269433795,0.016594244785403767,0.014084507042253523,0.038208544194459695,0.028861201396412666,0.0165402672444926,0.0,0.0,0.0,0.0
o__JG30-KF-AS9(73),0.0,0.0,0.015806111696522653,0.02322836980371227,0.0,0.06513256865795142,0.0,0.1523312907881804,0.6211930651495519,0.005146666387601118,0.05213572352976059,0.009850410132440753,0.0,0.015068493150684932,0.009843339577424993,0.03026396112616902,0.0,0.0,0.0,0.0
o__SC-I-84(104),0.009139382083109071,0.0007406444906444906,0.026086015169131886,0.0,0.0068889491201380255,0.008889819986902634,0.003136446886446886,0.15267096115136441,0.5649607108194845,0.07759610523453922,0.017323828971111118,0.06718712522116178,0.005313765182186234,0.02668859124970691,0.027607621714498834,0.005770032719574003,0.0,0.0,0.0,0.0
o__FW68(55),0.0,0.0,0.01818181818181818,0.0,0.0,0.01818181818181818,0.02727272727272727,0.15362128068010422,0.5470468746939335,0.027909345556404376,0.014285714285714285,0.03636363636363636,0.01818181818181818,0.08030303030303029,0.04072985837691719,0.017922077922077922,0.0,0.0,0.0,0.0
o__Acidobacteriales(630),0.02988506136403467,0.0036922608893565543,0.010385032764107413,0.004636490510273009,0.0005322669608383894,0.029557678616487292,0.010365689592554482,0.15482181056799532,0.5175060650301532,0.05806616629000467,0.0204269866943664,0.021725576638838444,0.005408399470899471,0.05555610129459248,0.03687429586771994,0.04051201739967824,0.0,4.8100048100048105e-05,0.0,0.0
o__Actinomycetales(2765),0.11764961804920232,0.01738280133847991,0.04958844416145727,0.02684555719659938,0.0275504449755319,0.016439866313481086,0.027721409087817932,0.0783589725979422,0.25325104885920036,0.023714365213160435,0.03049637287838813,0.07146927050480437,0.031152197621893654,0.1360237461366533,0.06746369885551651,0.02248667962999368,0.0,0.0024055065798776667,0.0,0.0
o__Bacillales(928),0.10317403064112574,0.020122527147992456,0.06176577395664898,0.05550887344923702,0.051433872224107065,0.0041640037475552,0.042620373848796723,0.07347380645458378,0.17256254478297672,0.018119976160152648,0.03940472736081998,0.08879872638955812,0.04869911886279428,0.13873265224923037,0.06510650567393782,0.015529874737844096,0.0,0.0007826123126390924,0.0,0.0
o__Burkholderiales(599),0.11804279906915599,0.008081888779786902,0.03635911595092084,0.031986772441035476,0.03898172293813755,0.030715512364363224,0.022695900740987054,0.04714812961275969,0.13033593796064274,0.042560939575698994,0.047300284120335996,0.08683192824339075,0.08660147154172186,0.14218947628474787,0.10015318648008914,0.029850486027270525,0.0,0.00016444786895538144,0.0,0.0
o__Sphingomonadales(756),0.1456299664563465,0.019611214939544423,0.04193957335121321,0.019828988005257807,0.018616228813367875,0.03335288524693667,0.06032540314851208,0.05807407778242176,0.11094167574671938,0.04184725098894495,0.047553065404711214,0.11021734801046636,0.08430325553925293,0.0864458571200006,0.09113129072136068,0.02949158810040248,0.0,0.0006903306245411509,0.0,0.0
o__Rhodospirillales(2199),0.05907308584758281,0.0058115126960167395,0.02471360564388073,0.00530252686930554,0.010858905759197521,0.010226873408078315,0.024304943278727793,0.07764335105567931,0.25394403597433673,0.09453621840009371,0.08747756115868836,0.10751261360247366,0.05202928083999265,0.04443302952049818,0.09241895138946161,0.04446484509364025,0.0,0.005248659462346211,0.0,0.0
o__Rhizobiales(1774),0.08751011723863593,0.010569864452347819,0.023152541788140753,0.03282381354284595,0.018070694818499614,0.016535688735385128,0.028451666222229766,0.06202255895764321,0.18570871085105584,0.08022696730536075,0.06703951642809727,0.11512949051831291,0.07960094290580876,0.062263575616132716,0.08799991996332344,0.037836921921390786,0.0,0.005057008734789667,0.0,0.0
